7dd  = WiiLink WFC
07e8  = Gioca tramite WiiLink WFC!
7e9  = Gioca con un amico tramite WiiLink WFC!
7f1  = WiiLink WFC (1G)
7f2  = WiiLink WFC (2G)
faa  = Connessione a WiiLink WFC...
fab  = Disconnettersi da WiiLink WFC?
11fa  = La Connessione Wi-Fi WiiLink è incontro ad\nun elevato volume di traffico oppure il\nservizio non è disponibile. Riprova più tardi.\nPer chiedere aiuto, visita wfc.wiilink24.com.\n\nCodice di Errore: \z{a02,1000000005}
14b4  = Sono su WiiLink WFC!
14b5  = Non sono su WiiLink WFC...
1ce9  = Quando giochi a Mario Kart Wii tramite\nWiiLink WFC, i dati seguenti verranno\n+ automaticamente inviati a WiiLink:\n\n・il tuo Mii ed il suo nome\n・i tuoi record e i dati fantasmi\n+ \n\nQuesti dati potranno essere condivisi\ncon altri giocatori su WiiLink WFC.
1cea  = Accetti di inviare i tuoi\ndati di gioco a WiiLink?
1ced  = Hai scelto di inviare\ni dati di gioco a WiiLink.
1cee  = Sei veramente sicuro? Non potrai\ngiocare a Mario Kart Wii tramite\nWiiLink WFC con questa impostazione.
1cef  = Hai scelto di non inviare\ni dati di gioco a WiiLink.
17e8  = Connettersi a WiiLink WFC?
1c53  = Mario Kart Wii può visualizzare la bandiera\ndel tuo paese e regione nei seguenti posti:\n\n・come una posizione sul globo in modalità WiiLink WFC\n・nei tuoi dati fantasma\n\nSe decidi di rendere questa informazione\ndisponibile, sarà inviata ad altri\ngiocatori mentre giochi tramite WiiLink WFC.
1c54  = Vuoi mostrare la bandiera del tuo paese\ne regione su WiiLink WFC?
1c57  = Hai scelto di mostrare la bandiera\ndel tuo paese e regione su WiiLink WFC.
1c58  = Hai scelto di non mostrare la bandiera\ndel tuo paese e regione su WiiLink WFC.
818  = Sarai disconnesso da\nWiiLink WFC e ritornerai\nal menù principale.
3fc  = Menù WiiLink WFC
841  = \z{602,0} e \z{802,120000}\nsaranno connessi assieme\na WiiLink WFC. Va bene?
